"SRC","EPSG","Hemisferio"
"NZGD2000 / Auckland Islands TM 2000",3788,"unknown"
"NZGD2000 / Campbell Island TM 2000",3789,"unknown"
"NZGD2000 / Antipodes Islands TM 2000",3790,"unknown"
"NZGD2000 / Raoul Island TM 2000",3791,"unknown"
"NZGD2000 / Chatham Islands TM 2000",3793,"unknown"
"Slovenia 1996 / Slovene National Grid",3794,"unknown"
"NAD27 / Cuba Norte",3795,"unknown"
"NAD27 / Cuba Sur",3796,"unknown"
"NAD27 / MTQ Lambert",3797,"unknown"
"NAD83 / MTQ Lambert",3798,"unknown"
"NAD83(CSRS) / MTQ Lambert",3799,"unknown"
"NAD27 / Alberta 3TM ref merid 120 W",3800,"unknown"
"NAD83 / Alberta 3TM ref merid 120 W",3801,"unknown"
"NAD83(CSRS) / Alberta 3TM ref merid 120 W",3802,"unknown"
"ETRS89 / Belgian Lambert 2008",3812,"unknown"
"NAD83 / Mississippi TM",3814,"unknown"
"NAD83(HARN) / Mississippi TM",3815,"unknown"
"NAD83(NSRS2007) / Mississippi TM",3816,"unknown"
"HD1909",3819,"unknown"
"TWD67",3821,"unknown"
"TWD97",3822,"unknown"
"TWD97",3823,"unknown"
"TWD97",3824,"unknown"
"TWD97 / TM2 zone 119",3825,"unknown"
"TWD97 / TM2 zone 121",3826,"unknown"
"TWD67 / TM2 zone 119",3827,"unknown"
"TWD67 / TM2 zone 121",3828,"unknown"
"Hu Tzu Shan 1950 / UTM zone 51N",3829,"unknown"
"WGS 84 / PDC Mercator",3832,"unknown"
"Pulkovo 1942(58) / Gauss-Kruger zone 2",3833,"unknown"
"Pulkovo 1942(83) / Gauss-Kruger zone 2",3834,"unknown"
"Pulkovo 1942(83) / Gauss-Kruger zone 3",3835,"unknown"
"Pulkovo 1942(83) / Gauss-Kruger zone 4",3836,"unknown"
"Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 3",3837,"unknown"
"Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 4",3838,"unknown"
"Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 9",3839,"unknown"
"Pulkovo 1942(58) / 3-degree Gauss-Kruger zone 10",3840,"unknown"
"Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 6",3841,"unknown"
"Pulkovo 1942(58) / Stereo70",3844,"unknown"
"SWEREF99 / RT90 7.5 gon V emulation",3845,"unknown"
"SWEREF99 / RT90 5 gon V emulation",3846,"unknown"
"SWEREF99 / RT90 2.5 gon V emulation",3847,"unknown"
"SWEREF99 / RT90 0 gon emulation",3848,"unknown"
"SWEREF99 / RT90 2.5 gon O emulation",3849,"unknown"
"SWEREF99 / RT90 5 gon O emulation",3850,"unknown"
"NZGD2000 / NZCS2000",3851,"unknown"
"RSRGD2000 / DGLC2000",3852,"unknown"
"County ST74",3854,"unknown"
"EGM2008 height",3855,"unknown"
"WGS 84 / Pseudo-Mercator",3857,"unknown"
"ETRS89 / GK19FIN",3873,"unknown"
"ETRS89 / GK20FIN",3874,"unknown"
"ETRS89 / GK21FIN",3875,"unknown"
"ETRS89 / GK22FIN",3876,"unknown"
"ETRS89 / GK23FIN",3877,"unknown"
"ETRS89 / GK24FIN",3878,"unknown"
"ETRS89 / GK25FIN",3879,"unknown"
"ETRS89 / GK26FIN",3880,"unknown"
"ETRS89 / GK27FIN",3881,"unknown"
"ETRS89 / GK28FIN",3882,"unknown"
"ETRS89 / GK29FIN",3883,"unknown"
"ETRS89 / GK30FIN",3884,"unknown"
"ETRS89 / GK31FIN",3885,"unknown"
"Fao 1979 height",3886,"unknown"
"IGRS",3887,"unknown"
"IGRS",3888,"unknown"
"IGRS",3889,"unknown"
"IGRS / UTM zone 37N",3890,"unknown"
"IGRS / UTM zone 38N",3891,"unknown"
"IGRS / UTM zone 39N",3892,"unknown"
"ED50 / Iraq National Grid",3893,"unknown"
"N2000 height",3900,"unknown"
"KKJ / Finland Uniform Coordinate System + N60 height",3901,"unknown"
"ETRS89 / TM35FIN(N,E) + N60 height",3902,"unknown"
"ETRS89 / TM35FIN(N,E) + N2000 height",3903,"unknown"
"MGI 1901",3906,"unknown"
"MGI 1901 / Slovene National Grid",3912,"unknown"
"Puerto Rico / UTM zone 20N",3920,"unknown"
"RGF93 v1 / CC42",3942,"unknown"
"RGF93 v1 / CC43",3943,"unknown"
"RGF93 v1 / CC44",3944,"unknown"
"RGF93 v1 / CC45",3945,"unknown"
"RGF93 v1 / CC46",3946,"unknown"
"RGF93 v1 / CC47",3947,"unknown"
"RGF93 v1 / CC48",3948,"unknown"
"RGF93 v1 / CC49",3949,"unknown"
"RGF93 v1 / CC50",3950,"unknown"
"NAD83 / Virginia Lambert",3968,"unknown"
"NAD83(HARN) / Virginia Lambert",3969,"unknown"
"NAD83(NSRS2007) / Virginia Lambert",3970,"unknown"
"WGS 84 / NSIDC Sea Ice Polar Stereographic South",3976,"unknown"
"NAD83 / Canada Atlas Lambert",3978,"unknown"
"NAD83(CSRS) / Canada Atlas Lambert",3979,"unknown"
"Katanga 1955 / Katanga Gauss zone A",3986,"unknown"
"Katanga 1955 / Katanga Gauss zone B",3987,"unknown"
"Katanga 1955 / Katanga Gauss zone C",3988,"unknown"
"Katanga 1955 / Katanga Gauss zone D",3989,"unknown"
"Puerto Rico State Plane CS of 1927",3991,"unknown"
"Puerto Rico / St. Croix",3992,"unknown"
"Guam 1963 / Guam SPCS",3993,"unknown"
"WGS 84 / Mercator 41",3994,"unknown"
"WGS 84 / Arctic Polar Stereographic",3995,"unknown"
"WGS 84 / IBCAO Polar Stereographic",3996,"unknown"
"WGS 84 / Dubai Local TM",3997,"unknown"
"MOLDREF99",4000,"unknown"
"MOLDREF99",4017,"unknown"
"MOLDREF99",4023,"unknown"
"MOLDREF99 / Moldova TM",4026,"unknown"
"WGS 84 / TMzn35N",4037,"unknown"
"WGS 84 / TMzn36N",4038,"unknown"
"RGRDC 2005",4039,"unknown"
"RGRDC 2005",4040,"unknown"
"RGRDC 2005",4046,"unknown"
"RGRDC 2005 / Congo TM zone 12",4048,"unknown"
"RGRDC 2005 / Congo TM zone 14",4049,"unknown"
"RGRDC 2005 / Congo TM zone 16",4050,"unknown"
"RGRDC 2005 / Congo TM zone 18",4051,"unknown"
"RGRDC 2005 / Congo TM zone 20",4056,"unknown"
"RGRDC 2005 / Congo TM zone 22",4057,"unknown"
"RGRDC 2005 / Congo TM zone 24",4058,"unknown"
"RGRDC 2005 / Congo TM zone 26",4059,"unknown"
"RGRDC 2005 / Congo TM zone 28",4060,"unknown"
"RGRDC 2005 / UTM zone 33S",4061,"unknown"
"RGRDC 2005 / UTM zone 34S",4062,"unknown"
"RGRDC 2005 / UTM zone 35S",4063,"unknown"
"Chua / UTM zone 23S",4071,"unknown"
"SREF98",4073,"unknown"
"SREF98",4074,"unknown"
"SREF98",4075,"unknown"
"REGCAN95",4079,"unknown"
"REGCAN95",4080,"unknown"
"REGCAN95",4081,"unknown"
"REGCAN95 / UTM zone 27N",4082,"unknown"
"REGCAN95 / UTM zone 28N",4083,"unknown"
"WGS 84 / World Equidistant Cylindrical",4087,"unknown"
"ETRS89 / DKTM1",4093,"unknown"
"ETRS89 / DKTM2",4094,"unknown"
"ETRS89 / DKTM3",4095,"unknown"
"ETRS89 / DKTM4",4096,"unknown"
"ETRS89 / DKTM1 + DVR90 height",4097,"unknown"
"ETRS89 / DKTM2 + DVR90 height",4098,"unknown"
"ETRS89 / DKTM3 + DVR90 height",4099,"unknown"
"ETRS89 / DKTM4 + DVR90 height",4100,"unknown"
"Greek",4120,"unknown"
"GGRS87",4121,"unknown"
"ATS77",4122,"unknown"
"KKJ",4123,"unknown"
"RT90",4124,"unknown"
"Tete",4127,"unknown"
"Madzansua",4128,"unknown"
"Observatario",4129,"unknown"
"Moznet",4130,"unknown"
"Indian 1960",4131,"unknown"
"FD58",4132,"unknown"
"EST92",4133,"unknown"
"PSD93",4134,"unknown"
"Old Hawaiian",4135,"unknown"
"St. Lawrence Island",4136,"unknown"
"St. Paul Island",4137,"unknown"
"St. George Island",4138,"unknown"
"Puerto Rico",4139,"unknown"
"Israel 1993",4141,"unknown"
"Locodjo 1965",4142,"unknown"
"Abidjan 1987",4143,"unknown"
"Kalianpur 1937",4144,"unknown"
"Kalianpur 1962",4145,"unknown"
"Kalianpur 1975",4146,"unknown"
"Hanoi 1972",4147,"unknown"
"Hartebeesthoek94",4148,"unknown"
"CH1903",4149,"unknown"
"CH1903+",4150,"unknown"
"CHTRS95",4151,"unknown"
"NAD83(HARN)",4152,"unknown"
"Rassadiran",4153,"unknown"
"ED50(ED77)",4154,"unknown"
"Dabola 1981",4155,"unknown"
"S-JTSK",4156,"unknown"
"Mount Dillon",4157,"unknown"
"Naparima 1955",4158,"unknown"
"ELD79",4159,"unknown"
"Chos Malal 1914",4160,"unknown"
"Pampa del Castillo",4161,"unknown"
"Korean 1985",4162,"unknown"
"Yemen NGN96",4163,"unknown"
"South Yemen",4164,"unknown"
"Bissau",4165,"unknown"
"Korean 1995",4166,"unknown"
"NZGD2000",4167,"unknown"
"Accra",4168,"unknown"
"American Samoa 1962",4169,"unknown"
"SIRGAS 1995",4170,"unknown"
"RGF93 v1",4171,"unknown"
"IRENET95",4173,"unknown"
"Sierra Leone 1924",4174,"unknown"
"Sierra Leone 1968",4175,"unknown"
"Australian Antarctic",4176,"unknown"
"Pulkovo 1942(83)",4178,"unknown"
"Pulkovo 1942(58)",4179,"unknown"
"EST97",4180,"unknown"
"LUREF",4181,"unknown"
"Azores Occidental 1939",4182,"unknown"
"Azores Central 1948",4183,"unknown"
"Azores Oriental 1940",4184,"unknown"
"OSNI 1952",4188,"unknown"
"REGVEN",4189,"unknown"
"POSGAR 98",4190,"unknown"
"Albanian 1987",4191,"unknown"
"Douala 1948",4192,"unknown"
"Manoca 1962",4193,"unknown"
"Qornoq 1927",4194,"unknown"
"Scoresbysund 1952",4195,"unknown"
"Ammassalik 1958",4196,"unknown"
"Garoua",4197,"unknown"
"Kousseri",4198,"unknown"
"Egypt 1930",4199,"unknown"
"Pulkovo 1995",4200,"unknown"
"Adindan",4201,"unknown"
"AGD66",4202,"unknown"
"AGD84",4203,"unknown"
"Ain el Abd",4204,"unknown"
"Afgooye",4205,"unknown"
"Agadez",4206,"unknown"
"Lisbon",4207,"unknown"
"Aratu",4208,"unknown"
"Arc 1950",4209,"unknown"
"Arc 1960",4210,"unknown"
"Batavia",4211,"unknown"
"Barbados 1938",4212,"unknown"
"Beduaram",4213,"unknown"
"Beijing 1954",4214,"unknown"
"BD50",4215,"unknown"
"Bermuda 1957",4216,"unknown"
"NAD83 / BLM 59N (ftUS)",4217,"unknown"
"Bogota 1975",4218,"unknown"
"Bukit Rimpah",4219,"unknown"
"Camacupa 1948",4220,"unknown"
"Campo Inchauspe",4221,"unknown"
"Cape",4222,"unknown"
"Carthage",4223,"unknown"
"Chua",4224,"unknown"
"Corrego Alegre 1970-72",4225,"unknown"
"Deir ez Zor",4227,"unknown"
"Egypt 1907",4229,"unknown"
"ED50",4230,"unknown"
"ED87",4231,"unknown"
"Fahud",4232,"unknown"
"Hu Tzu Shan 1950",4236,"unknown"
"HD72",4237,"unknown"
"ID74",4238,"unknown"
"Indian 1954",4239,"unknown"
"Indian 1975",4240,"unknown"
"Jamaica 1875",4241,"unknown"
"JAD69",4242,"unknown"
"Kalianpur 1880",4243,"unknown"
"Kandawala",4244,"unknown"
"Kertau 1968",4245,"unknown"
"KOC",4246,"unknown"
"La Canoa",4247,"unknown"
"PSAD56",4248,"unknown"
"Lake",4249,"unknown"
"Leigon",4250,"unknown"
"Liberia 1964",4251,"unknown"
"Lome",4252,"unknown"
"Luzon 1911",4253,"unknown"
"Hito XVIII 1963",4254,"unknown"
"Herat North",4255,"unknown"
"Mahe 1971",4256,"unknown"
"Makassar",4257,"unknown"
"ETRS89",4258,"unknown"
"Malongo 1987",4259,"unknown"
"Merchich",4261,"unknown"
"Massawa",4262,"unknown"
"Minna",4263,"unknown"
"Monte Mario",4265,"unknown"
"M'poraloko",4266,"unknown"
"NAD27",4267,"unknown"
"NAD83",4269,"unknown"
"Nahrwan 1967",4270,"unknown"
"Naparima 1972",4271,"unknown"
"NZGD49",4272,"unknown"
"NGO 1948",4273,"unknown"
"Datum 73",4274,"unknown"
"NTF",4275,"unknown"
"NSWC 9Z-2",4276,"unknown"
"OSGB36",4277,"unknown"
"OSGB70",4278,"unknown"
"OS(SN)80",4279,"unknown"
"Palestine 1923",4281,"unknown"
"Pointe Noire",4282,"unknown"
"GDA94",4283,"unknown"
"Pulkovo 1942",4284,"unknown"
"Qatar 1974",4285,"unknown"
"Qatar 1948",4286,"unknown"
"Loma Quintana",4288,"unknown"
"Amersfoort",4289,"unknown"
"Sapper Hill 1943",4292,"unknown"
"Schwarzeck",4293,"unknown"
"Serindung",4295,"unknown"
"Tananarive",4297,"unknown"
"Timbalai 1948",4298,"unknown"
"TM65",4299,"unknown"
"TM75",4300,"unknown"
"Tokyo",4301,"unknown"
"Trinidad 1903",4302,"unknown"
"TC(1948)",4303,"unknown"
"Voirol 1875",4304,"unknown"
"Bern 1938",4306,"unknown"
"Nord Sahara 1959",4307,"unknown"
"RT38",4308,"unknown"
"Yacare",4309,"unknown"
"Yoff",4310,"unknown"
"Zanderij",4311,"unknown"
"MGI",4312,"unknown"
"BD72",4313,"unknown"
"DHDN",4314,"unknown"
"Conakry 1905",4315,"unknown"
"Dealul Piscului 1930",4316,"unknown"
"NGN",4318,"unknown"
"KUDAMS",4319,"unknown"
"WGS 72",4322,"unknown"
"WGS 72BE",4324,"unknown"
"WGS 84",4326,"unknown"
"Kertau 1968 / Johor Grid",4390,"unknown"
"Kertau 1968 / Sembilan and Melaka Grid",4391,"unknown"
"Kertau 1968 / Pahang Grid",4392,"unknown"
"Kertau 1968 / Selangor Grid",4393,"unknown"
"Kertau 1968 / Terengganu Grid",4394,"unknown"
"Kertau 1968 / Pinang Grid",4395,"unknown"
"Kertau 1968 / Kedah and Perlis Grid",4396,"unknown"
"Kertau 1968 / Perak Revised Grid",4397,"unknown"
"Kertau 1968 / Kelantan Grid",4398,"unknown"
"NAD27 / BLM 59N (ftUS)",4399,"unknown"
"NAD27 / BLM 60N (ftUS)",4400,"unknown"
"NAD27 / BLM 1N (ftUS)",4401,"unknown"
"NAD27 / BLM 2N (ftUS)",4402,"unknown"
"NAD27 / BLM 3N (ftUS)",4403,"unknown"
"NAD27 / BLM 4N (ftUS)",4404,"unknown"
"NAD27 / BLM 5N (ftUS)",4405,"unknown"
"NAD27 / BLM 6N (ftUS)",4406,"unknown"
"NAD27 / BLM 7N (ftUS)",4407,"unknown"
"NAD27 / BLM 8N (ftUS)",4408,"unknown"
"NAD27 / BLM 9N (ftUS)",4409,"unknown"
"NAD27 / BLM 10N (ftUS)",4410,"unknown"
"NAD27 / BLM 11N (ftUS)",4411,"unknown"
"NAD27 / BLM 12N (ftUS)",4412,"unknown"
"NAD27 / BLM 13N (ftUS)",4413,"unknown"
"NAD83(HARN) / Guam Map Grid",4414,"unknown"
"Katanga 1955 / Katanga Lambert",4415,"unknown"
"Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 7",4417,"unknown"
"NAD27 / BLM 18N (ftUS)",4418,"unknown"
"NAD27 / BLM 19N (ftUS)",4419,"unknown"
"NAD83 / BLM 60N (ftUS)",4420,"unknown"
"NAD83 / BLM 1N (ftUS)",4421,"unknown"
"NAD83 / BLM 2N (ftUS)",4422,"unknown"
"NAD83 / BLM 3N (ftUS)",4423,"unknown"
"NAD83 / BLM 4N (ftUS)",4424,"unknown"
"NAD83 / BLM 5N (ftUS)",4425,"unknown"
"NAD83 / BLM 6N (ftUS)",4426,"unknown"
"NAD83 / BLM 7N (ftUS)",4427,"unknown"
"NAD83 / BLM 8N (ftUS)",4428,"unknown"
"NAD83 / BLM 9N (ftUS)",4429,"unknown"
"NAD83 / BLM 10N (ftUS)",4430,"unknown"
"NAD83 / BLM 11N (ftUS)",4431,"unknown"
"NAD83 / BLM 12N (ftUS)",4432,"unknown"
"NAD83 / BLM 13N (ftUS)",4433,"unknown"
"Pulkovo 1942(83) / 3-degree Gauss-Kruger zone 8",4434,"unknown"
"NAD83(NSRS2007) / Puerto Rico and Virgin Is.",4437,"unknown"
"NAD83 / BLM 18N (ftUS)",4438,"unknown"
"NAD83 / BLM 19N (ftUS)",4439,"unknown"
"NZVD2009 height",4440,"unknown"
"NAD27 / Pennsylvania South",4455,"unknown"
"NAD27 / New York Long Island",4456,"unknown"
"NAD83 / South Dakota North (ftUS)",4457,"unknown"
"Dunedin-Bluff 1960 height",4458,"unknown"
"WGS 84 / Australian Centre for Remote Sensing Lambert",4462,"unknown"
"RGSPM06",4463,"unknown"
"RGSPM06",4465,"unknown"
"RGSPM06",4466,"unknown"
"RGSPM06 / UTM zone 21N",4467,"unknown"
"RGM04",4468,"unknown"
"RGM04",4469,"unknown"
"RGM04",4470,"unknown"
"RGM04 / UTM zone 38S",4471,"unknown"
"Cadastre 1997",4472,"unknown"
"Cadastre 1997",4473,"unknown"
"Cadastre 1997",4475,"unknown"
"China Geodetic Coordinate System 2000",4479,"unknown"
"China Geodetic Coordinate System 2000",4480,"unknown"
"Mexico ITRF92",4481,"unknown"
"Mexico ITRF92",4482,"unknown"
"Mexico ITRF92",4483,"unknown"
"Mexico ITRF92 / UTM zone 11N",4484,"unknown"
"Mexico ITRF92 / UTM zone 12N",4485,"unknown"
"Mexico ITRF92 / UTM zone 13N",4486,"unknown"
"Mexico ITRF92 / UTM zone 14N",4487,"unknown"
"Mexico ITRF92 / UTM zone 15N",4488,"unknown"
"Mexico ITRF92 / UTM zone 16N",4489,"unknown"
"China Geodetic Coordinate System 2000",4490,"unknown"
"CGCS2000 / Gauss-Kruger zone 13",4491,"unknown"
"CGCS2000 / Gauss-Kruger zone 14",4492,"unknown"
"CGCS2000 / Gauss-Kruger zone 15",4493,"unknown"
"CGCS2000 / Gauss-Kruger zone 16",4494,"unknown"
"CGCS2000 / Gauss-Kruger zone 17",4495,"unknown"
"CGCS2000 / Gauss-Kruger zone 18",4496,"unknown"
"CGCS2000 / Gauss-Kruger zone 19",4497,"unknown"
"CGCS2000 / Gauss-Kruger zone 20",4498,"unknown"
"CGCS2000 / Gauss-Kruger zone 21",4499,"unknown"
"CGCS2000 / Gauss-Kruger zone 22",4500,"unknown"
"CGCS2000 / Gauss-Kruger zone 23",4501,"unknown"
"CGCS2000 / Gauss-Kruger CM 75E",4502,"unknown"
"CGCS2000 / Gauss-Kruger CM 81E",4503,"unknown"
"CGCS2000 / Gauss-Kruger CM 87E",4504,"unknown"
"CGCS2000 / Gauss-Kruger CM 93E",4505,"unknown"
"CGCS2000 / Gauss-Kruger CM 99E",4506,"unknown"
"CGCS2000 / Gauss-Kruger CM 105E",4507,"unknown"
"CGCS2000 / Gauss-Kruger CM 111E",4508,"unknown"
"CGCS2000 / Gauss-Kruger CM 117E",4509,"unknown"
"CGCS2000 / Gauss-Kruger CM 123E",4510,"unknown"
"CGCS2000 / Gauss-Kruger CM 129E",4511,"unknown"
"CGCS2000 / Gauss-Kruger CM 135E",4512,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 25",4513,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 26",4514,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 27",4515,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 28",4516,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 29",4517,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 30",4518,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 31",4519,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 32",4520,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 33",4521,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 34",4522,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 35",4523,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 36",4524,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 37",4525,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 38",4526,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 39",4527,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 40",4528,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 41",4529,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 42",4530,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 43",4531,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 44",4532,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger zone 45",4533,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 75E",4534,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 78E",4535,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 81E",4536,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 84E",4537,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 87E",4538,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 90E",4539,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 93E",4540,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 96E",4541,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 99E",4542,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 102E",4543,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 105E",4544,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 108E",4545,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 111E",4546,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 114E",4547,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 117E",4548,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 120E",4549,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 123E",4550,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 126E",4551,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 129E",4552,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 132E",4553,"unknown"
"CGCS2000 / 3-degree Gauss-Kruger CM 135E",4554,"unknown"
"New Beijing",4555,"unknown"
"RRAF 1991",4556,"unknown"
"RRAF 1991",4557,"unknown"
"RRAF 1991",4558,"unknown"
"RRAF 1991 / UTM zone 20N",4559,"unknown"
"New Beijing / Gauss-Kruger zone 13",4568,"unknown"
"New Beijing / Gauss-Kruger zone 14",4569,"unknown"
"New Beijing / Gauss-Kruger zone 15",4570,"unknown"
"New Beijing / Gauss-Kruger zone 16",4571,"unknown"
"New Beijing / Gauss-Kruger zone 17",4572,"unknown"
"New Beijing / Gauss-Kruger zone 18",4573,"unknown"
"New Beijing / Gauss-Kruger zone 19",4574,"unknown"
"New Beijing / Gauss-Kruger zone 20",4575,"unknown"
"New Beijing / Gauss-Kruger zone 21",4576,"unknown"
"New Beijing / Gauss-Kruger zone 22",4577,"unknown"
"New Beijing / Gauss-Kruger zone 23",4578,"unknown"
"New Beijing / Gauss-Kruger CM 75E",4579,"unknown"
"New Beijing / Gauss-Kruger CM 81E",4580,"unknown"
"New Beijing / Gauss-Kruger CM 87E",4581,"unknown"
"New Beijing / Gauss-Kruger CM 93E",4582,"unknown"
"New Beijing / Gauss-Kruger CM 99E",4583,"unknown"
"New Beijing / Gauss-Kruger CM 105E",4584,"unknown"
"New Beijing / Gauss-Kruger CM 111E",4585,"unknown"
"New Beijing / Gauss-Kruger CM 117E",4586,"unknown"
"New Beijing / Gauss-Kruger CM 123E",4587,"unknown"
"New Beijing / Gauss-Kruger CM 129E",4588,"unknown"
"New Beijing / Gauss-Kruger CM 135E",4589,"unknown"
"Anguilla 1957",4600,"unknown"
"Antigua 1943",4601,"unknown"
"Dominica 1945",4602,"unknown"
"Grenada 1953",4603,"unknown"
"Montserrat 1958",4604,"unknown"
"St. Kitts 1955",4605,"unknown"
"St. Lucia 1955",4606,"unknown"
"St. Vincent 1945",4607,"unknown"
"NAD27(76)",4608,"unknown"
"NAD27(CGQ77)",4609,"unknown"
"Xian 1980",4610,"unknown"
"Hong Kong 1980",4611,"unknown"
"JGD2000",4612,"unknown"
"Segara",4613,"unknown"
"QND95",4614,"unknown"
"Porto Santo",4615,"unknown"
"Selvagem Grande",4616,"unknown"
"NAD83(CSRS)",4617,"unknown"
"SAD69",4618,"unknown"
"SWEREF99",4619,"unknown"
"Point 58",4620,"unknown"
"Fort Marigot",4621,"unknown"
"Guadeloupe 1948",4622,"unknown"
"CSG67",4623,"unknown"
"RGFG95",4624,"unknown"
"Martinique 1938",4625,"unknown"
"Reunion 1947",4626,"unknown"
"RGR92",4627,"unknown"
"Tahiti 52",4628,"unknown"
"Tahaa 54",4629,"unknown"
"IGN72 Nuku Hiva",4630,"unknown"
"Combani 1950",4632,"unknown"
"IGN56 Lifou",4633,"unknown"
"Petrels 1972",4636,"unknown"
"Perroud 1950",4637,"unknown"
"Saint Pierre et Miquelon 1950",4638,"unknown"
"MOP78",4639,"unknown"
"IGN53 Mare",4641,"unknown"
"ST84 Ile des Pins",4642,"unknown"
"ST71 Belep",4643,"unknown"
"NEA74 Noumea",4644,"unknown"
"Grand Comoros",4646,"unknown"
"ETRS89 / UTM zone 32N (zE-N)",4647,"unknown"
"New Beijing / 3-degree Gauss-Kruger zone 25",4652,"unknown"
"New Beijing / 3-degree Gauss-Kruger zone 26",4653,"unknown"
"New Beijing / 3-degree Gauss-Kruger zone 27",4654,"unknown"
"New Beijing / 3-degree Gauss-Kruger zone 28",4655,"unknown"
"New Beijing / 3-degree Gauss-Kruger zone 29",4656,"unknown"
"Reykjavik 1900",4657,"unknown"
"Hjorsey 1955",4658,"unknown"
"ISN93",4659,"unknown"
"Helle 1954",4660,"unknown"
"LKS92",4661,"unknown"
"IGN72 Grande Terre",4662,"unknown"
"Porto Santo 1995",4663,"unknown"
"Azores Oriental 1995",4664,"unknown"
"Azores Central 1995",4665,"unknown"
"Lisbon 1890",4666,"unknown"
"IKBD-92",4667,"unknown"
"ED79",4668,"unknown"
"LKS94",4669,"unknown"
"IGM95",4670,"unknown"
"Voirol 1879",4671,"unknown"
"Chatham Islands 1971",4672,"unknown"
"Chatham Islands 1979",4673,"unknown"
"SIRGAS 2000",4674,"unknown"
"Guam 1963",4675,"unknown"
"Vientiane 1982",4676,"unknown"
"Lao 1993",4677,"unknown"
"Lao 1997",4678,"unknown"
"Jouik 1961",4679,"unknown"
"Nouakchott 1965",4680,"unknown"
"Gulshan 303",4682,"unknown"
"PRS92",4683,"unknown"
"Gan 1970",4684,"unknown"
"MAGNA-SIRGAS",4686,"unknown"
"RGPF",4687,"unknown"
"Fatu Iva 72",4688,"unknown"
"IGN63 Hiva Oa",4689,"unknown"
"Tahiti 79",4690,"unknown"
"Moorea 87",4691,"unknown"
"Maupiti 83",4692,"unknown"
"Nakhl-e Ghanem",4693,"unknown"
"POSGAR 94",4694,"unknown"
"Katanga 1955",4695,"unknown"
"Kasai 1953",4696,"unknown"
"IGC 1962 6th Parallel South",4697,"unknown"
"IGN 1962 Kerguelen",4698,"unknown"
"Le Pouce 1934",4699,"unknown"
"IGN Astro 1960",4700,"unknown"
"IGCB 1955",4701,"unknown"
"Mauritania 1999",4702,"unknown"
"Mhast 1951",4703,"unknown"
"Mhast (onshore)",4704,"unknown"
"Mhast (offshore)",4705,"unknown"
"Egypt Gulf of Suez S-650 TL",4706,"unknown"
"Tern Island 1961",4707,"unknown"
"Cocos Islands 1965",4708,"unknown"
"Iwo Jima 1945",4709,"unknown"
"Astro DOS 71",4710,"unknown"
"Marcus Island 1952",4711,"unknown"
