"SRC","EPSG","Hemisferio"
"NZGD2000 / Gawler 2000",2125,"unknown"
"NZGD2000 / Timaru 2000",2126,"unknown"
"NZGD2000 / Lindis Peak 2000",2127,"unknown"
"NZGD2000 / Mount Nicholas 2000",2128,"unknown"
"NZGD2000 / Mount York 2000",2129,"unknown"
"NZGD2000 / Observation Point 2000",2130,"unknown"
"NZGD2000 / North Taieri 2000",2131,"unknown"
"NZGD2000 / Bluff 2000",2132,"unknown"
"NZGD2000 / UTM zone 58S",2133,"unknown"
"NZGD2000 / UTM zone 59S",2134,"unknown"
"NZGD2000 / UTM zone 60S",2135,"unknown"
"Accra / Ghana National Grid",2136,"unknown"
"Accra / TM 1 NW",2137,"unknown"
"NAD27(CGQ77) / Quebec Lambert",2138,"unknown"
"RGF93 v1 / Lambert-93",2154,"unknown"
"IRENET95 / Irish Transverse Mercator",2157,"unknown"
"IRENET95 / UTM zone 29N",2158,"unknown"
"Sierra Leone 1924 / New Colony Grid",2159,"unknown"
"Sierra Leone 1924 / New War Office Grid",2160,"unknown"
"Sierra Leone 1968 / UTM zone 28N",2161,"unknown"
"Sierra Leone 1968 / UTM zone 29N",2162,"unknown"
"Locodjo 1965 / TM 5 NW",2164,"unknown"
"Abidjan 1987 / TM 5 NW",2165,"unknown"
"LUREF / Luxembourg TM",2169,"unknown"
"Pulkovo 1942(58) / Poland zone II",2172,"unknown"
"Pulkovo 1942(58) / Poland zone III",2173,"unknown"
"Pulkovo 1942(58) / Poland zone IV",2174,"unknown"
"Pulkovo 1942(58) / Poland zone V",2175,"unknown"
"ETRF2000-PL / CS2000/15",2176,"unknown"
"ETRF2000-PL / CS2000/18",2177,"unknown"
"ETRF2000-PL / CS2000/21",2178,"unknown"
"ETRF2000-PL / CS2000/24",2179,"unknown"
"ETRF2000-PL / CS92",2180,"unknown"
"Azores Occidental 1939 / UTM zone 25N",2188,"unknown"
"Azores Central 1948 / UTM zone 26N",2189,"unknown"
"Azores Oriental 1940 / UTM zone 26N",2190,"unknown"
"NZGD2000 / New Zealand Transverse Mercator 2000",2193,"unknown"
"NAD83(HARN) / UTM zone 2S",2195,"unknown"
"ETRS89 / Kp2000 Jutland",2196,"unknown"
"ETRS89 / Kp2000 Zealand",2197,"unknown"
"ETRS89 / Kp2000 Bornholm",2198,"unknown"
"ATS77 / New Brunswick Stereographic (ATS77)",2200,"unknown"
"REGVEN / UTM zone 18N",2201,"unknown"
"REGVEN / UTM zone 19N",2202,"unknown"
"REGVEN / UTM zone 20N",2203,"unknown"
"NAD27 / Tennessee",2204,"unknown"
"NAD83 / Kentucky North",2205,"unknown"
"ED50 / 3-degree Gauss-Kruger zone 9",2206,"unknown"
"ED50 / 3-degree Gauss-Kruger zone 10",2207,"unknown"
"ED50 / 3-degree Gauss-Kruger zone 11",2208,"unknown"
"ED50 / 3-degree Gauss-Kruger zone 12",2209,"unknown"
"ED50 / 3-degree Gauss-Kruger zone 13",2210,"unknown"
"ED50 / 3-degree Gauss-Kruger zone 14",2211,"unknown"
"ED50 / 3-degree Gauss-Kruger zone 15",2212,"unknown"
"ETRS89 / TM 30 NE",2213,"unknown"
"Manoca 1962 / UTM zone 32N",2215,"unknown"
"Qornoq 1927 / UTM zone 22N",2216,"unknown"
"Qornoq 1927 / UTM zone 23N",2217,"unknown"
"Scoresbysund 1952 / Greenland zone 5 east",2218,"unknown"
"ATS77 / UTM zone 19N",2219,"unknown"
"ATS77 / UTM zone 20N",2220,"unknown"
"Scoresbysund 1952 / Greenland zone 6 east",2221,"unknown"
"NAD83 / Arizona East (ft)",2222,"unknown"
"NAD83 / Arizona Central (ft)",2223,"unknown"
"NAD83 / Arizona West (ft)",2224,"unknown"
"NAD83 / California zone 1 (ftUS)",2225,"unknown"
